ID,Seq,RAdeg,DEdeg,Per,R21,phi21,T0,gmag,rmag,Per-g,Per-r,Ng,Nr,R21-g,R21-r,phi21-g,phi21-r,R2-g,R2-r,gAmp,rAmp,log(FAP-g),log(FAP-r),Type,Dmin-g,Dmin-r,random_index,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_bp_mean_flux_error,teff_gspphot,logg_gspphot,mh_gspphot,ag_gspphot,ruwe,astrometric_excess_noise,astrometric_sigma5d_max,fidelity_v2,rv_renormalised_gof,rv_chisq_pvalue,rv_expected_sig_to_noise,rv_nb_transits,Separation
ZTFJ000013.45+511139.1,119,0.05605,51.19422,2.3400086,0.713,6.308,58263.4126817,14.0,13.583,2.3395564,2.3400086,206,223,0.727,0.713,6.139,6.308,0.894,0.909,0.3,0.271,-14.998,-16.156,EA,0.02,0.018,1003579770,394064490663459840,0.0560600166835677,0.008412556,51.194207229232624,0.008316843,0.4431281425248948,0.014261574,-4.12154005371837,0.011424609,-2.5693086759353108,0.010650171,-46.307213,4.867555,13.566766,70508.3510256434,42.223785,13.899724,37629.397248560315,68.50196,13.067806,46993.285340805895,93.34319,6654.4917,3.7292,-0.0892,0.5705,0.9876731,0.0,0.018628018,1.0,,,14.673279,35,0.05122848690747116
ZTFJ000043.80+593206.3,362,0.18254,59.53511,10.7662385,0.534,6.366,58374.3319755,14.816,13.674,10.7551952,10.7662385,298,323,0.37,0.534,6.887,6.366,0.204,0.453,0.052,0.063,-9.426,-23.708,EA,0.0,0.002,154494443,423195742004109696,0.18254106393212918,0.009217933,59.535094244198284,0.01008579,0.8814135016272148,0.012950679,-6.297752295923885,0.011796571,-5.861470640260706,0.013311014,-101.226875,5.848515,13.68794,63062.44008690923,45.23562,14.444137,22790.945980748416,125.94033,12.832961,58340.97040798116,69.81601,5618.8154,3.5116,-0.2601,1.4168,0.94854826,0.0,0.020220151,1.0,,,14.171283,18,0.05675411894258563
ZTFJ000107.66+551407.4,550,0.28192,55.23539,3.9125612,0.806,6.272,58269.4394276,14.996,14.481,3.9105748,3.9125612,150,161,0.695,0.806,6.341,6.272,0.412,0.793,0.09,0.159,-0.599,-5.642,EA,0.002,0.021,829876688,420481563190374400,0.28195042502050166,0.060372036,55.235370381623845,0.06277197,0.37846698183471617,0.0929019,-1.5193404331504545,0.0804216,-0.5290282448775698,0.08369761,-96.7248,10.412181,14.509505,29589.984990728244,13.729302,14.886696,15161.374361025755,18.664682,13.92858,21267.968559501318,17.696026,6096.7124,4.1569,-0.4854,0.5234,5.1569095,0.89047444,0.13046706,0.27075195,,,5.6416492,28,0.09427963361520209
ZTFJ000116.73+562024.3,631,0.31973,56.3401,1.1988914,0.771,6.497,58303.4792562,14.808,14.188,1.1992872,1.1988914,149,161,0.771,0.676,6.497,6.443,0.702,0.558,0.249,0.173,-2.209,-3.196,EA,0.177,0.122,621148901,420938238474096640,0.3197364021810406,0.011170724,56.34008506114933,0.012587334,0.9629032139724429,0.017779674,4.241028909075113,0.014856379,4.056246628526356,0.015826387,-30.053095,15.115129,14.236085,38063.853507026484,62.045517,14.662564,18637.65296823917,145.8674,13.637588,27805.012407351416,80.81753,5871.6216,4.1918,-0.2377,0.4649,0.99346906,0.0,0.024993742,1.0,,,6.4687533,20,0.05527624053242951
ZTFJ000137.35+610650.6,812,0.40565,61.11407,2.7994766,0.863,6.189,58314.4460859,13.425,12.788,2.7986532,2.7994766,298,319,0.944,0.863,6.202,6.189,0.555,0.583,0.228,0.158,-1.679,-7.662,EA,0.067,0.021,1417988293,429479691478385664,0.4056732358815668,0.008976244,61.114047610911534,0.009459805,1.7434408740911507,0.012119702,0.8171955251034957,0.011198472,1.2958790404391713,0.012729725,-11.492721,17.017231,12.802961,142482.69322602768,37.964474,13.247379,68622.28719468409,100.53874,12.186576,105810.24735880447,81.77873,5795.095,3.9464,-0.5087,0.5347,0.9748921,0.05966155,0.019095358,1.0,44.35086,0.0,22.44463,21,0.09016262300495108
ZTFJ000146.45+613707.4,903,0.44355,61.61873,3.9780968,0.797,6.363,58292.4713975,15.24,14.589,3.9782448,3.9780968,299,320,0.84,0.797,6.352,6.363,0.694,0.744,0.448,0.409,-10.84,-12.133,EA,0.028,0.006,1003168040,429522366274378880,0.4435812524585856,0.02275159,61.61869509164593,0.021739984,0.44943579783746546,0.028875755,-3.597597976716922,0.028050942,-1.2689866628824185,0.028902978,1.2399093,8.929374,14.581366,27694.941607742454,9.92076,15.025887,13337.123036856356,22.941463,13.939771,21049.893095684194,22.18128,6736.665,3.4494,-0.5424,1.1091,1.5772973,0.23101632,0.045226045,1.0,,,6.483914,21,0.13657611838351427
ZTFJ000217.47+572342.6,1164,0.57282,57.39517,3.19792,0.634,6.3,58377.3059107,13.318,12.732,3.19651,3.1990906,208,218,0.634,0.653,6.3,6.347,0.959,0.835,0.315,0.353,-19.958,-17.827,EA,0.012,0.009,62843616,422578915980080640,0.5728431414740253,0.008879411,57.39515521550282,0.009186913,0.5345094446027054,0.012953223,-0.17635327642051163,0.011498557,-1.9670278299918722,0.011655855,-7.1667347,26.649338,12.719895,153811.41094527213,98.830795,13.13777,75911.77794321493,157.8873,12.127756,111700.61758480736,128.18684,6769.9873,3.3145,-0.0467,0.9933,0.97507495,0.05890443,0.018545514,1.0,68.184555,0.0,24.37155,26,0.06962740475541322
ZTFJ000222.99+715422.1,1204,0.59583,71.90614,2.2622604,0.868,6.328,58358.4105888,14.891,14.165,2.2623932,2.2622604,198,212,0.78,0.868,6.425,6.328,0.727,0.779,0.248,0.293,-8.195,-7.014,EA,0.01,0.05,745099288,531408336374265344,0.5957952106135624,0.012514441,71.90613601633984,0.012952823,0.8973713096268291,0.014637856,9.270351944763352,0.016265957,-0.12169670753863558,0.018210787,93.77167,5.898948,14.189713,39724.79262298154,21.610718,14.689872,18174.741009969868,43.654842,13.52388,30874.953224515182,36.435604,5615.2476,4.0835,-0.618,0.6486,1.0014375,0.0,0.027487958,1.0,,,7.679947,19,0.041456479276015784
ZTFJ000241.57+545904.7,1367,0.67324,54.98465,2.3019498,0.712,6.322,58663.4565942,12.803,0.0,2.3019498,0.0,185,0,0.712,0.0,6.322,0.0,0.975,0.0,0.702,0.0,-13.779,0.0,EA,0.3,0.0,890004765,420460466311205888,0.6732549646732534,0.012024402,54.98462836681941,0.011434977,0.9085786028879095,0.018241698,2.0858293318489043,0.014691902,-2.6581440530966804,0.0149524715,-38.59167,14.105153,12.243406,238552.72540974763,326.67056,12.602044,124336.67708651505,692.80646,11.707878,164439.7792203844,460.3003,6111.648,3.6511,-0.073,0.418,1.4818696,0.13737264,0.024033153,1.0,65.36721,0.0,33.6194,31,0.08378998303244059
ZTFJ000247.57+570149.3,1411,0.69824,57.03038,3.352985,0.932,6.226,58333.3395994,13.453,12.811,3.352985,3.3534894,208,218,0.83,0.932,6.322,6.226,0.82,0.849,0.395,0.498,-7.182,-9.945,EA,0.019,0.047,777356343,421065369505524224,0.6982443383511633,0.010115837,57.03036048150769,0.010725655,0.9574655142521685,0.015778214,4.802884706282051,0.01300984,-2.04967624449474,0.012735589,-5.5997496,11.727837,12.7921715,143905.78409630747,39.053173,13.265499,67486.54375955627,84.75706,12.150133,109422.03140355852,100.2201,6192.8643,3.6552,-0.1821,0.8748,1.0787252,0.09497258,0.020527719,1.0,30.929695,0.0,24.777367,28,0.070778730293341
ZTFJ000506.03+605919.2,2560,1.27513,60.98868,84.8926026,0.587,6.366,58274.6459044,16.458,15.023,84.4168122,84.8926026,145,155,0.481,0.587,6.557,6.366,0.554,0.711,0.116,0.099,-10.65,-14.283,EA,0.009,0.023,902391272,429422104554858880,1.2751105037071564,0.018893376,60.98866018927016,0.01937835,0.6595547940157857,0.024989566,-4.648210126685299,0.022969563,-0.7114004084594968,0.02434897,-21.023438,7.182708,15.098943,17193.709420788935,26.77494,16.055243,5167.969754231661,76.28125,14.136621,17559.400433191884,27.085249,5050.8237,3.4655,-0.189,1.607,1.0038928,0.0,0.036954492,1.0,,,5.4953423,22,0.07902544394123166
ZTFJ000514.37+684642.4,2624,1.30988,68.77846,4.2785193,0.773,6.219,58268.4240035,16.235,14.73,4.2768764,4.2785193,205,219,0.808,0.773,6.413,6.219,0.443,0.591,0.207,0.201,-3.802,-7.388,EA,0.001,0.027,1257625520,529139116172805632,1.3098845223829527,0.014204091,68.77843950692913,0.016076278,0.8568389353161546,0.017936375,-2.7232749008632444,0.018033795,-0.35699076901343585,0.021673925,62.14323,7.351982,14.640761,26220.5825500565,9.812716,15.720069,7037.029776441583,19.872522,13.607674,28581.743072990364,14.425128,9112.432,3.7493,-0.2515,3.7797,1.1227384,0.054885864,0.030926019,1.0,,,8.736987,24,0.07401005449386709
ZTFJ000523.32+755135.7,2699,1.34718,75.85993,2.6078559,0.45,6.477,58653.4495163,13.824,13.117,2.6074506,2.6078559,118,119,0.46,0.45,6.127,6.477,0.78,0.904,0.186,0.178,-12.938,-15.096,EA,0.08,0.048,1291388780,539710370717382912,1.3472058450783495,0.008037609,75.85991045592058,0.009007723,0.7710568538258055,0.009730121,-3.9922916579108843,0.010026834,-0.6411507308255807,0.012000921,-64.86177,3.5926862,13.129403,105483.7817872354,87.12229,13.625046,48461.67269038744,170.32799,12.467545,81684.67019336089,149.66461,6607.3794,3.6779,-0.0679,1.1081,1.0045094,0.0,0.016682018,1.0,,,16.83071,23,0.07393902965098122
ZTFJ000523.46+651112.1,2700,1.34778,65.18671,0.8320548,0.763,6.415,58457.1746011,15.481,14.469,0.8321928,0.8320548,278,313,0.872,0.763,6.642,6.415,0.58,0.79,0.123,0.152,-7.623,-18.342,EA,0.066,0.017,1732113097,432132057117200896,1.3477648319810858,0.3527387,65.18670066322059,0.39302096,1.3880614627289372,0.44343463,0.006658342873912607,0.4514997,-4.815415200617769,0.49333468,-18.206894,5.3381605,14.575127,27854.5465865221,86.938995,15.190135,11464.707165492044,82.87994,13.669659,26995.71614799185,57.309048,5220.2803,4.4053,-0.763,1.0607,26.829523,4.9042344,0.7205057,0.31445312,,,5.6190624,16,0.04068070528494694
ZTFJ000523.60+593018.5,2703,1.34835,59.50514,2.57404,0.688,6.291,58508.2159481,14.814,13.985,5.1514004,2.5733262,144,155,0.804,0.688,6.389,6.291,0.936,0.951,0.892,0.9,-3.521,-4.505,EA,0.796,0.748,1171253841,423230617137870080,1.3483418504503017,0.010761615,59.505118802577876,0.011736412,0.5540454986169635,0.014513498,3.0202557495289746,0.014397982,5.28311179344458,0.016169397,41.077045,5.1774864,13.972783,48510.26501611107,133.799,14.526637,21123.318043045714,369.07635,13.258137,39436.95338954219,119.75891,6187.4478,3.6098,-0.1517,1.1798,1.030924,0.0,0.024135074,1.0,,,9.334628,19,0.07774947678366896
ZTFJ000528.71+740927.7,2746,1.36966,74.1577,0.6515164,0.46,6.225,58428.2363085,15.621,14.708,0.651561,0.6515164,60,55,0.469,0.46,6.285,6.225,0.926,0.964,0.715,0.656,-3.25,-4.496,EA,0.349,0.302,1803481604,538011797051621632,1.3696541929364863,0.015834708,74.15769083426828,0.018170891,0.8755297383618104,0.019830652,4.112472999884514,0.021335136,0.5982101376154331,0.022314748,-21.91808,9.195888,14.642637,26175.318720517695,115.803764,15.305178,10312.068318847338,334.7514,13.8655615,22538.951430306413,158.44543,5921.7485,3.9484,-0.2787,1.2416,1.0558194,0.0,0.034508318,1.0,,,5.9410253,18,0.03348652805673186
ZTFJ000534.32+344444.6,2790,1.39304,34.74574,0.4664032,0.447,6.318,58435.2739643,14.383,13.934,0.4664096,0.4664032,61,68,0.498,0.447,6.28,6.318,0.972,0.991,0.889,0.596,-4.388,-9.464,EA,0.631,0.427,1493556788,2876702784862572288,1.3930470208764734,0.012482148,34.745724507883644,0.009283535,0.953448222609118,0.017997222,7.7148353726112315,0.017043361,-1.19163285589507,0.0111507885,-85.74689,7.6935945,14.010552,46851.7454191211,359.42084,14.436848,22944.46412972948,745.19434,13.518704,31022.483766267145,853.38385,6041.1265,4.2116,-0.5238,0.1833,1.0758376,0.0,0.0241891,1.0,,,9.740229,27,0.05951299756977539
ZTFJ000605.33+645333.2,3049,1.52223,64.89258,1.7089486,0.711,6.333,58345.3580461,14.826,13.881,1.7090096,1.7089486,267,296,0.711,0.746,6.333,6.418,0.933,0.921,0.278,0.257,-20.122,-22.615,EA,0.002,0.005,579414921,432121611756886272,1.5222208352912483,0.011468854,64.89257038022274,0.0125926025,0.632104727140551,0.014743512,-1.6413971827086382,0.014476063,-2.528911343470497,0.015716206,-2.8297122,4.7235193,13.855844,54026.8299029043,40.181145,14.52493,21156.555663113326,89.28828,13.05412,47589.39938597182,82.700226,,,,,0.9634942,0.0,0.023923233,1.0,,,10.975119,20,0.037353779421411326
ZTFJ000641.77+563255.4,3336,1.67406,56.54873,0.967334,0.578,6.236,58312.4620521,14.477,13.971,0.967334,0.9672382,209,220,0.578,0.519,6.236,5.937,0.844,0.754,0.137,0.104,-16.923,-17.082,EA,0.075,0.054,1109380580,420988575488841984,1.6740614689919697,0.010414558,56.54870296242103,0.01056179,0.6349450830212652,0.014240572,7.0872343979916135,0.01365257,1.2415418833006582,0.014054617,-60.503025,9.195911,13.991465,47682.723627852596,34.497852,14.361592,24591.221251586197,103.89618,13.456542,32850.4501774542,58.62024,,,,,0.9924921,0.0,0.022801785,1.0,,,9.29078,30,0.09737892664627223
ZTFJ000719.03+641700.6,3623,1.82932,64.2835,1.1819088,0.565,6.299,58483.1075882,13.21,12.5,1.1819088,1.181766,138,147,0.565,0.577,6.299,6.294,0.99,0.863,0.436,0.505,-17.303,-15.609,EA,0.028,0.004,858718599,431704278377569152,1.829327202912083,0.0096103465,64.2834965621948,0.010810774,1.200553260116454,0.012670222,-1.0926486385382557,0.012408529,-3.0399337086917066,0.012326559,-73.379745,24.764095,12.457164,195921.02422797855,244.35193,12.952514,90034.99179420447,552.73724,11.791885,152196.34153753455,365.92773,6605.809,3.7235,-0.1415,1.162,1.1739268,0.08425477,0.018244205,1.0,54.48582,0.0,30.00273,21,0.01672629649042263
ZTFJ000720.05+674633.7,3628,1.83355,67.77604,1.491812,0.673,6.306,58345.3630005,15.841,14.46,1.4917276,1.491812,144,153,0.658,0.673,6.259,6.306,0.943,0.964,0.538,0.501,-12.792,-13.671,EA,0.005,0.001,547073342,528924505247932160,1.8335520766559255,0.013098182,67.77601913026493,0.012804519,0.8717106435472723,0.016069734,-2.611056530024707,0.017681738,0.18610949859251835,0.01693635,71.33119,5.6477947,14.350975,34241.82303806752,53.506386,15.337192,10012.45175740214,177.80774,13.369376,35596.53075673219,59.5022,,,,,0.9952345,0.0,0.027586428,1.0,,,11.126398,25,0.07518423730611185
